" Sub-national electricity sales and numbers of customers, 2016 (1) ",,,, Number of MPANs (thousands) ,,,,, Sales (GWh) ,,,,, Averages (KWh) ,,,,,,,,,,, Average domestic consumption per household (kWh) (2) ,
,,,, Domestic consumers ,,, Non-domestic consumers ,, Domestic consumers ,,, Non-domestic consumers , All , Domestic Economy 7 ,, Standard ,, All domestic ,, Non-domestic ,, All ,,,,
 Region , Local Authority , LA Code , LAU1 , Economy 7 meters , Standard Meters , All domestic , All Non-domestic , Total number of Meters , Economy 7 meters , Standard meters , All domestic , All non-domestic , Total consumption , Mean consumption , Median consumption , Mean consumption , Median consumption , Mean consumption , Median consumption , Mean consumption , Median consumption , Mean consumption , Median consumption ,,,
 SCOTLAND ,City of Edinburgh,S12000036,UKM2500, 39 , 223 , 262 , 20 , 282 , 161 , 694 , 855 ," 1,363 "," 2,218 "," 4,140 "," 3,314 "," 3,117 "," 2,569 "," 3,269 "," 2,629 "," 68,007 "," 8,426 "," 7,877 "," 2,695 ",," 3,672 ",
 SCOTLAND ,Clackmannanshire,S12000005,UKM2201, 2 , 23 , 25 , 1 , 27 , 11 , 76 , 86 , 118 , 205 ," 4,387 "," 3,162 "," 3,343 "," 2,902 "," 3,444 "," 2,918 "," 84,302 "," 8,869 "," 7,727 "," 2,976 ",," 3,696 ",
 SCOTLAND ,Dumfries and Galloway,S12000006,UKM3200, 18 , 63 , 82 , 10 , 92 , 95 , 235 , 330 , 510 , 840 ," 5,136 "," 3,859 "," 3,712 "," 3,097 "," 4,034 "," 3,183 "," 48,735 "," 7,036 "," 9,095 "," 3,293 ",," 4,774 ",
 SCOTLAND ,Dundee City,S12000042,UKM2102, 14 , 70 , 84 , 5 , 89 , 64 , 227 , 291 , 377 , 667 ," 4,575 "," 3,788 "," 3,250 "," 2,785 "," 3,471 "," 2,857 "," 71,355 "," 10,881 "," 7,495 "," 2,931 ",," 4,175 ",
 SCOTLAND ,East Ayrshire,S12000008,UKM3301, 3 , 55 , 59 , 4 , 63 , 15 , 178 , 193 , 229 , 422 ," 4,398 "," 2,798 "," 3,225 "," 2,804 "," 3,293 "," 2,804 "," 52,783 "," 8,053 "," 6,707 "," 2,870 ",," 3,524 ",
 SCOTLAND ,East Dunbartonshire,S12000045,UKM3103, 4 , 44 , 48 , 3 , 50 , 18 , 161 , 178 , 158 , 337 ," 4,369 "," 3,300 "," 3,674 "," 3,214 "," 3,733 "," 3,220 "," 61,851 "," 8,174 "," 6,689 "," 3,267 ",," 3,931 ",
 SCOTLAND ,East Lothian,S12000010,UKM2301, 7 , 43 , 49 , 3 , 53 , 36 , 150 , 185 , 264 , 449 ," 5,240 "," 4,172 "," 3,516 "," 2,980 "," 3,755 "," 3,064 "," 75,878 "," 8,521 "," 8,506 "," 3,138 ",," 4,142 ",
 SCOTLAND ,East Renfrewshire,S12000011,UKM3501, 4 , 36 , 40 , 2 , 42 , 21 , 137 , 158 , 67 , 225 ," 4,764 "," 3,716 "," 3,800 "," 3,311 "," 3,905 "," 3,336 "," 37,289 "," 10,959 "," 5,314 "," 3,385 ",," 4,098 ",
 SCOTLAND ,Falkirk,S12000014,UKM2600, 10 , 69 , 79 , 5 , 84 , 45 , 229 , 274 , 413 , 687 ," 4,472 "," 3,271 "," 3,315 "," 2,904 "," 3,464 "," 2,925 "," 90,721 "," 9,760 "," 8,208 "," 2,987 ",," 3,860 ",
 SCOTLAND ,Fife,S12000015,UKM2202, 18 , 164 , 183 , 13 , 195 , 81 , 543 , 624 , 857 ," 1,481 "," 4,472 "," 3,136 "," 3,301 "," 2,851 "," 3,417 "," 2,867 "," 66,569 "," 8,028 "," 7,576 "," 2,928 ",," 3,763 ",
 SCOTLAND ,Glasgow City,S12000046,UKM3400, 63 , 263 , 327 , 24 , 350 , 216 , 763 , 978 ," 1,592 "," 2,570 "," 3,415 "," 2,625 "," 2,895 "," 2,454 "," 2,996 "," 2,472 "," 66,649 "," 9,721 "," 7,333 "," 2,546 ",," 3,332 ",
 SCOTLAND ,Highland,S12000017,"UKM6101, UKM6102, UKM6201, UKM6202, UKM6304, UKM6305", 35 , 105 , 140 , 16 , 156 , 242 , 409 , 651 , 894 ," 1,546 "," 7,013 "," 6,112 "," 3,880 "," 3,134 "," 4,654 "," 3,525 "," 56,341 "," 8,297 "," 9,916 "," 3,655 ",," 6,056 ",
 SCOTLAND ,Inverclyde,S12000018,UKM3503, 8 , 34 , 42 , 2 , 44 , 30 , 110 , 139 , 155 , 295 ," 3,840 "," 2,860 "," 3,204 "," 2,819 "," 3,322 "," 2,825 "," 62,152 "," 7,668 "," 6,622 "," 2,879 ",," 3,711 ",
 SCOTLAND ,Midlothian,S12000019,UKM2302, 2 , 37 , 40 , 3 , 42 , 13 , 125 , 138 , 201 , 339 ," 5,468 "," 3,821 "," 3,366 "," 2,921 "," 3,492 "," 2,943 "," 75,991 "," 9,202 "," 8,043 "," 3,010 ",," 3,655 ",
 SCOTLAND ,Moray,S12000020,"UKM6203, UKM6204", 6 , 41 , 48 , 5 , 52 , 41 , 146 , 187 , 307 , 493 ," 6,359 "," 5,451 "," 3,556 "," 2,983 "," 3,933 "," 3,133 "," 66,929 "," 8,013 "," 9,473 "," 3,230 ",," 4,452 ",
 SCOTLAND ,Na h-Eileanan Siar3,S12000013,UKM6400, 5 , 14 , 19 , 2 , 21 , 35 , 53 , 87 , 61 , 148 ," 6,752 "," 5,971 "," 3,871 "," 3,132 "," 4,660 "," 3,584 "," 30,603 "," 5,970 "," 7,169 "," 3,662 ",," 6,723 ",
 SCOTLAND ,North Ayrshire,S12000021,"UKM3302, UKM6301", 10 , 63 , 73 , 5 , 77 , 48 , 199 , 247 , 390 , 637 ," 5,014 "," 3,585 "," 3,160 "," 2,749 "," 3,407 "," 2,807 "," 80,927 "," 7,706 "," 8,236 "," 2,873 ",," 3,894 ",
 SCOTLAND ,North Lanarkshire,S12000044,UKM3600, 19 , 140 , 159 , 9 , 168 , 82 , 462 , 544 , 738 ," 1,282 "," 4,297 "," 3,157 "," 3,309 "," 2,938 "," 3,427 "," 2,951 "," 82,736 "," 10,173 "," 7,645 "," 3,007 ",," 3,619 ",
 SCOTLAND ,Orkney Islands,S12000023,UKM6500, 6 , 8 , 15 , 2 , 17 , 45 , 35 , 80 , 55 , 135 ," 7,481 "," 6,703 "," 4,102 "," 3,207 "," 5,505 "," 4,319 "," 23,571 "," 6,362 "," 8,018 "," 4,460 ",," 7,797 ",
 SCOTLAND ,Perth and Kinross,S12000024,UKM2701, 15 , 65 , 80 , 9 , 89 , 98 , 250 , 348 , 374 , 723 ," 6,702 "," 5,756 "," 3,822 "," 3,089 "," 4,348 "," 3,312 "," 43,689 "," 8,594 "," 8,152 "," 3,430 ",," 5,189 ",
 SCOTLAND ,Renfrewshire,S12000038,UKM3502, 13 , 78 , 91 , 5 , 96 , 42 , 245 , 288 , 365 , 652 ," 3,265 "," 2,392 "," 3,149 "," 2,743 "," 3,165 "," 2,713 "," 71,057 "," 9,878 "," 6,797 "," 2,771 ",," 3,422 ",
 SCOTLAND ,Scottish Borders ,S12000026,UKM2400, 15 , 50 , 65 , 8 , 72 , 70 , 181 , 251 , 267 , 517 ," 4,701 "," 3,518 "," 3,629 "," 2,955 "," 3,875 "," 3,027 "," 35,004 "," 5,939 "," 7,155 "," 3,117 ",," 4,660 ",
 SCOTLAND ,Shetland Islands,S12000027,UKM6600, 8 , 9 , 17 , 2 , 19 , 63 , 37 , 100 , 89 , 189 ," 7,418 "," 6,700 "," 4,111 "," 3,248 "," 5,715 "," 4,597 "," 47,214 "," 7,829 "," 9,768 "," 4,689 ",," 9,706 ",
 SCOTLAND ,South Ayrshire,S12000028,UKM3700, 7 , 51 , 58 , 5 , 63 , 31 , 173 , 204 , 257 , 461 ," 4,572 "," 3,299 "," 3,365 "," 2,864 "," 3,506 "," 2,888 "," 50,235 "," 7,795 "," 7,274 "," 2,971 ",," 3,935 ",
 SCOTLAND ,South Lanarkshire,S12000029,UKM3800, 25 , 132 , 157 , 10 , 167 , 119 , 462 , 580 , 535 ," 1,115 "," 4,835 "," 3,571 "," 3,492 "," 2,991 "," 3,702 "," 3,038 "," 53,349 "," 9,333 "," 6,685 "," 3,102 ",," 4,026 ",
 SCOTLAND ,Stirling,S12000030,UKM2702, 7 , 38 , 44 , 4 , 49 , 41 , 141 , 182 , 279 , 460 ," 6,188 "," 4,779 "," 3,746 "," 3,050 "," 4,110 "," 3,167 "," 62,597 "," 9,365 "," 9,462 "," 3,288 ",," 4,662 ",
 SCOTLAND ,West Dunbartonshire,S12000039,UKM3102, 6 , 42 , 47 , 3 , 50 , 19 , 126 , 145 , 181 , 326 ," 3,327 "," 2,395 "," 3,027 "," 2,669 "," 3,064 "," 2,650 "," 61,199 "," 8,575 "," 6,482 "," 2,700 ",," 3,400 ",
 SCOTLAND ,West Lothian,S12000040,UKM2800, 6 , 74 , 80 , 5 , 85 , 26 , 258 , 284 , 520 , 804 ," 4,644 "," 3,552 "," 3,477 "," 3,044 "," 3,558 "," 3,064 "," 96,937 "," 10,691 "," 9,437 "," 3,131 ",," 3,707 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,
"(TOTAL, ALL)",Great Britain,K03000001,," 4,371 "," 23,723 "," 28,094 "," 2,495 "," 30,589 "," 22,746 "," 83,474 "," 106,220 "," 170,800 "," 277,020 "," 5,203 "," 3,995 "," 3,519 "," 2,915 "," 3,781 "," 3,028 "," 68,460 "," 8,046 "," 9,056 "," 3,107 ",," 3,931 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,
,England,E92000001,," 3,834 "," 19,999 "," 23,833 "," 2,113 "," 25,946 "," 19,931 "," 70,925 "," 90,856 "," 141,541 "," 232,397 "," 5,198 "," 3,991 "," 3,546 "," 2,927 "," 3,812 "," 3,047 "," 66,981 "," 8,038 "," 8,957 "," 3,125 ",," 3,911 ",
,North East,E12000001,UKC, 69 ," 1,151 "," 1,220 ", 84 ," 1,304 ", 344 ," 3,616 "," 3,961 "," 7,113 "," 11,074 "," 4,998 "," 3,816 "," 3,142 "," 2,713 "," 3,247 "," 2,741 "," 84,737 "," 7,787 "," 8,494 "," 2,801 ",," 4,005 ",
,North West,E12000002,UKD, 234 ," 2,974 "," 3,208 ", 246 ," 3,454 "," 1,343 "," 10,220 "," 11,563 "," 18,805 "," 30,369 "," 5,741 "," 4,607 "," 3,436 "," 2,941 "," 3,604 "," 3,005 "," 76,400 "," 9,072 "," 8,791 "," 3,083 ",," 3,557 ",
,Yorkshire and The Humber,E12000003,UKE, 173 ," 2,214 "," 2,387 ", 186 ," 2,573 ", 935 ," 7,443 "," 8,378 "," 13,962 "," 22,340 "," 5,402 "," 4,173 "," 3,362 "," 2,825 "," 3,510 "," 2,875 "," 75,012 "," 8,792 "," 8,682 "," 2,953 ",," 3,588 ",
,East Midlands,E12000004,UKF, 687 ," 1,359 "," 2,046 ", 166 ," 2,212 "," 3,039 "," 4,654 "," 7,693 "," 12,698 "," 20,391 "," 4,423 "," 3,401 "," 3,426 "," 2,874 "," 3,761 "," 3,032 "," 76,604 "," 9,768 "," 9,220 "," 3,116 ",," 3,853 ",
,West Midlands,E12000005,UKG, 395 ," 2,039 "," 2,435 ", 202 ," 2,637 "," 2,015 "," 7,303 "," 9,318 "," 14,330 "," 23,648 "," 5,097 "," 3,915 "," 3,581 "," 3,022 "," 3,827 "," 3,125 "," 70,969 "," 8,778 "," 8,969 "," 3,205 ",," 3,926 ",
,East,E12000006,UKH, 767 ," 1,865 "," 2,632 ", 226 ," 2,858 "," 3,962 "," 6,973 "," 10,935 "," 14,995 "," 25,930 "," 5,165 "," 3,913 "," 3,739 "," 3,065 "," 4,155 "," 3,261 "," 66,375 "," 8,944 "," 9,074 "," 3,345 ",," 4,193 ",
,Inner London,E13000001,, 139 ," 1,364 "," 1,504 ", 237 ," 1,741 ", 722 ," 4,426 "," 5,148 "," 16,042 "," 21,190 "," 5,183 "," 4,106 "," 3,244 "," 2,416 "," 3,424 "," 2,503 "," 67,627 "," 5,794 "," 12,172 "," 2,597 ",," 2,888 ",
,Outer London,E13000002,, 317 ," 1,716 "," 2,033 ", 168 ," 2,200 "," 1,535 "," 6,236 "," 7,771 "," 9,183 "," 16,954 "," 4,845 "," 3,842 "," 3,634 "," 2,969 "," 3,823 "," 3,070 "," 54,806 "," 7,097 "," 7,706 "," 3,129 ",," 4,478 ",
,South East,E12000008,UKJ, 684 ," 3,164 "," 3,848 ", 341 ," 4,188 "," 3,680 "," 12,185 "," 15,865 "," 21,409 "," 37,274 "," 5,384 "," 4,196 "," 3,851 "," 3,111 "," 4,123 "," 3,250 "," 62,820 "," 8,020 "," 8,899 "," 3,326 ",," 4,002 ",
,South West,E12000009,UKK, 369 ," 2,153 "," 2,522 ", 258 ," 2,780 "," 2,357 "," 7,867 "," 10,224 "," 13,002 "," 23,226 "," 6,381 "," 5,320 "," 3,655 "," 2,998 "," 4,054 "," 3,173 "," 50,445 "," 7,045 "," 8,356 "," 3,259 ",," 5,596 ",
,Wales,W92000004,UKL, 99 ," 1,310 "," 1,409 ", 129 ," 1,538 ", 625 ," 4,395 "," 5,020 "," 9,755 "," 14,775 "," 6,294 "," 4,957 "," 3,355 "," 2,870 "," 3,562 "," 2,937 "," 75,828 "," 7,344 "," 9,608 "," 3,017 ",," 3,223 ",
,Scotland,S92000003,UKM, 433 ," 2,348 "," 2,781 ", 220 ," 3,001 "," 2,164 "," 7,944 "," 10,108 "," 13,483 "," 23,591 "," 4,997 "," 3,819 "," 3,383 "," 2,848 "," 3,635 "," 2,923 "," 61,337 "," 8,597 "," 7,861 "," 3,003 ",," 4,122 ",
,Unallocated,Unallocated,, 5 , 65 , 70 , 33 , 104 , 26 , 210 , 236 ," 6,021 "," 6,257 "," 5,234 "," 4,516 "," 3,212 "," 2,523 "," 3,354 "," 2,597 "," 181,021 "," 8,055 "," 60,353 "," 2,904 ",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(1) There has been changes made to the method for compiling electricity data at local authority level. This has resulted in more information being available, such as the domestic standard and Economy 7 meter divide.",,,,,,,,,,,,,,,,,,,,,,,,,
,(2) Household figures based on various sources; household estimates in Scotland by General Register Office for Scotland; household estimates in Wales.,,,,,,,,,,,,,,,,,,,,,,,,,
